procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 446124 395008 1647504    0    0  1982  2348  558  606  9  7 84  1  0
 8  1      0 438488 395068 1647524    0    0 30998 29084 10517 21327 54 41  1  3  0  8  0      0 438488 395104 1647532    0    0 31795 32050 10970 22317 55 40  2  4  0  7  1      0 438488 395124 1647536    0    0 29810 30842 9763 20159 55 40  2  4  0
 8  1      0 438236 395188 1647544    0    0 25275 26042 8208 17027 54 40  2  4  0
10  0      0 437220 395232 1647560    0    0 24383 24987 7914 16242 54 40  2  4  0
 8  0      0 437472 395248 1647572    0    0 20056 20507 6338 13226 54 40  2  4  0
 8  2      0 437472 395272 1647580    0    0 24010 24831 7694 15931 55 40  2  3  0
 7  1      0 437472 395316 1647584    0    0 29005 29369 9151 18794 54 41  2  3  0
 8  0      0 436920 395336 1647768    0    0 31279 31692 10286 20442 51 40  2  7  0
 8  0      0 437700 395372 1647756    0    0 29009 29524 9312 18740 53 41  2  4  0
 7  0      0 437204 395376 1647756    0    0 18392 19399 5701 11949 53 39  3  6  0
11  0      0 437204 395384 1647760    0    0 18338 18959 5737 11555 50 39  3  8  0
 9  0      0 437204 395392 1647772    0    0 26707 26612 8450 16939 54 40  2  5  0
 5  0      0 437204 395400 1647784    0    0 27345 27570 8749 17470 54 40  2  4  0
 9  4      0 437204 395420 1647808    0    0 21469 22502 6821 13553 53 40  3  5  0
15  1      0 437204 395440 1647816    0    0 26052 26495 8200 16370 53 39  2  5  0
 9  2      0 437204 395448 1647820    0    0 14105 14877 4421 8836 52 39  3  7  0
 6  3      0 437456 395456 1647828    0    0 21825 22159 6891 13697 53 40  2  5  0
 5  2      0 437456 395480 1647832    0    0 39415 39728 12323 24690 54 39  2  5  0
12  0      0 437456 395484 1647840    0    0 25753 26626 7596 15686 52 39  3  7  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 444596 395492 1647788    0    0  3696  7708 1043 1645  7  5 81  6  0
 3  0      0 444596 395492 1647792    0    0  1400  6635  469  570  1  1 97  1  0
 4  0      0 445848 395492 1647804    0    0     0     4   39   79  0  0 100  0  0
 1  0      0 444344 395492 1647808    0    0     0    17   63  116  0  0 100  0  0
 1  0      0 443840 395492 1647812    0    0     0     2   33   69  0  0 100  0  0
 1  0      0 443840 395492 1647816    0    0     0     5   33   70  0  0 100  0  0
 1  0      0 443840 395492 1647820    0    0     0     2   29   65  0  0 100  0  0
 1  0      0 443824 395492 1647844    0    0     0    16   36   75  0  0 100  0  0
 1  0      0 443824 395492 1647844    0    0     0     2   31   68  0  0 100  0  0
 1  0      0 443824 395492 1647848    0    0     0     1   29   67  0  0 100  0  0
 0  0      0 444204 395492 1647852    0    0     0     1   31   69  0  0 100  0  0
