procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 839784 415264 1418812    0    0  4398  6195 2102 1998 32 21 46  1  0
 9  0    512 166636 415388 1293452    0    0 11790  9535 11787 31448 60 40  0  0  0
 9  0    512 113212 415728 1294092    0    0  4474 22475 12199 30737 61 38  1  0  0
 8  0    512 111688 415964 1293516    0    0  4376 22828 13053 31124 60 38  1  1  0
10  0    512 103248 416172 1301760    0    0  4674 24441 11946 31324 60 39  1  0  0
 8  0    512 102240 416344 1301788    0    0  4931 25481 12268 31697 60 39  1  0  0
 9  0    512 101484 416448 1301804    0    0  5097 25875 11910 31425 60 38  1  0  0
 9  0    512 120752 416524 1283156    0    0  5299 26105 11957 31561 60 38  1  1  0
 8  0    512 105128 416756 1298000    0    0  5540 26661 11996 31617 60 39  1  1  0
 7  0    512 104120 416860 1298036    0    0  5540 26946 12166 31893 59 40  1  1  0
 8  0    512 103616 416960 1298048    0    0  5535 26989 12123 31787 60 39  1  1  0
 0  0    512 118732 417328 1279976    0    0  3412 11859 2632 6892 12  7 78  2  0
 0  0    512 116196 417528 1282476    0    0   696  7020  575  873  1  1 98  1  0
 0  0    512 116204 417592 1282504    0    0     0  6497  373  540  0  0 99  1  0
 0  0    512 116204 417668 1282524    0    0     0  6492  397  412  0  0 99  1  0
 0  0    512 116204 417684 1282532    0    0     0  2370  170  150  0  0 99  0  0
 0  0    512 116604 417688 1282616    0    0     0    14   30   62  0  0 100  0  0
 0  0    512 116604 417688 1282624    0    0     0     3   27   56  0  0 100  0  0
 0  0    512 116604 417688 1282636    0    0     0     3   28   57  0  0 100  0  0
 0  0    512 116604 417688 1282652    0    0     0     7   28   57  0  0 100  0  0
 0  0    512 116596 417688 1282668    0    0     0    13   32   63  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    512 116596 417688 1282676    0    0     0     4   27   56  0  0 100  0  0
 2  0    512 116596 417688 1282688    0    0     0     2   25   54  0  0 100  0  0
 2  0    512 116596 417688 1282700    0    0     0     3   28   60  0  0 100  0  0
 6  0    512 116596 417688 1282712    0    0     0     2   25   54  0  0 100  0  0
 1  0    512 116580 417688 1282732    0    0     0    14   31   65  0  0 100  0  0
 1  0    512 116580 417688 1282740    0    0     0     3   24   53  0  0 100  0  0
 2  0    512 116580 417688 1282752    0    0     0     2   23   54  0  0 100  0  0
 1  0    512 116580 417688 1282764    0    0     0     3   26   55  0  0 100  0  0
 0  0    512 116108 417688 1282880    0    0     0     4   31   63  0  0 100  0  0
 1  0    512 116100 417692 1282892    0    0     0    19   33   64  0  0 100  0  0
 1  0    512 116100 417696 1282900    0    0     0     7   28   58  0  0 100  0  0
 1  0    512 116100 417696 1282912    0    0     0     3   27   56  0  0 100  0  0
 1  0    512 117976 417696 1282920    0    0     0     9   29   59  0  0 100  0  0
 0  0    512 117976 417696 1282932    0    0     0     4   29   57  0  0 100  0  0
 0  0    512 116328 417704 1283144    0    0     2    16   34   67  0  0 100  0  0
 0  0    512 116328 417704 1283152    0    0     0     3   25   54  0  0 100  0  0
 0  0    512 116328 417708 1283164    0    0     0     2   26   55  0  0 100  0  0
 0  0    512 116296 417708 1283176    0    0     0     2   25   55  0  0 100  0  0
 2  0    512 125680 417708 1273076    0    0     0    14   42   85  0  0 99  0  0
 1  0    512 965340 417780 1277072    0    0  4197   243  462  648  1  1 95  4  0
 2  0    512 965048 417780 1277004    0    0     0    13   34   68  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 965544 417780 1277016    0    0     0     6   27   57  0  0 100  0  0
 0  0    512 966048 417780 1277020    0    0     0     3   28   60  0  0 100  0  0
 1  0    512 965800 417780 1277036    0    0     0    13   29   60  0  0 100  0  0
 1  0    512 963884 417780 1277048    0    0     0     6   34   68  0  0 100  0  0
 1  0    512 963884 417780 1277056    0    0     0    14   31   61  0  0 100  0  0
 1  0    512 963884 417780 1277068    0    0     0     7   29   60  0  0 100  0  0
 1  0    512 963884 417780 1277080    0    0     0     3   28   59  0  0 100  0  0
 1  0    512 962868 417780 1277172    0    0     0     5   32   67  0  0 100  0  0
 1  0    512 964136 417780 1277168    0    0     0    16   31   62  0  0 100  0  0
 1  0    512 964136 417784 1277180    0    0     0     2   27   59  0  0 100  0  0
 1  0    512 964136 417784 1277192    0    0     0     2   28   57  0  0 100  0  0
 1  0    512 964136 417788 1277204    0    0     0     3   26   57  0  0 100  0  0
 1  0    512 963380 417792 1277224    0    0     0    17   32   65  0  0 100  0  0
 2  0    512 963380 417792 1277224    0    0     0     3   25   56  0  0 100  0  0
 1  0    512 963380 417792 1277236    0    0     0     2   23   52  0  0 100  0  0
 0  0    512 963380 417792 1277248    0    0     0     3   24   54  0  0 100  0  0
 1  0    512 963884 417792 1277260    0    0     0     4   29   62  0  0 100  0  0
 5  0    512 963884 417792 1277272    0    0     0    13   29   58  0  0 100  0  0
 0  0    512 963852 417792 1277272    0    0     0     2   29   59  0  0 100  0  0
 1  0    512 962996 417860 1278956    0    0    23    13   60  114  0  0 99  0  0
 0  0    512 959468 417860 1278876    0    0     0    15   65  115  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0    512 754944 417864 1281176    0    0  2851   134  752 1572  4  3 93  0  0
 8  0    512 256976 417936 1296612    0    0  7248  6992 8053 20174 61 39  0  0  0
 8  0    512 246392 418088 1296636    0    0  4046 16718 7388 19659 62 37  1  0  0
10  0    512 245384 418196 1296656    0    0  3876 16572 7194 19563 62 37  1  0  0
