procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0    512 141040 280984 1915340    0    0   113  1055 1840 3813  7  5 87  0  0
 8  0    512 104360 286568 1915488    0    0 15888 13109 5386 11710 53 41  2  5  0
12  0    512 124568 291816 1888600    0    0  7116 12413 4828 11055 57 39  2  2  0
 8  0    512 120260 298420 1886832    0    0  9727 18912 7392 17048 60 39  1  1  0
 8  0    512 112944 304900 1887092    0    0  9753 19380 7098 16878 60 38  1  1  0
 8  1    512 106384 311240 1887236    0    0  9646 19449 7144 16710 60 38  1  1  0
 8  0    512 119356 316372 1868312    0    0 10056 19767 7183 16683 59 39  1  1  0
 9  0    512 114652 320940 1868452    0    0 10641 20339 7283 17323 59 39  1  1  0
 9  2    512 112352 324056 1868540    0    0 10734 21126 7345 17637 59 38  1  2  0
10  1    512 109328 326524 1868612    0    0  5754 13547 4165 9429 58 38  2  3  0
 8  0    512 107060 328776 1868672    0    0  4778 10301 3627 7797 56 39  3  2  0
 0  0    512 103048 339216 1868976    0    0  2773  8956 1408 2672  9  6 77  8  0
