page        index   level   data    free    records 
3           44      2       64      16188   4       
4           54      2       92      16160   4       
5           55      1       14687   1279    773     
6           44      0       7508    8684    121     
7           44      0       15089   1043    244     
8           44      0       15094   1038    244     
9           44      0       15105   1027    244     
10          54      0       8664    7380    456     
11          54      0       8911    7133    469     
12          44      0       15067   1067    243     
13          55      0       7860    8130    524     
14          55      0       15720   10      1048    
15          44      0       15072   1060    244     
16          54      0       8208    7836    432     
17          44      0       15061   1071    244     
18          55      0       15720   10      1048    
19          44      0       15095   1037    245     
20          44      0       15071   1061    244     
21          44      0       15073   1059    246     
22          54      0       8132    7912    428     
23          44      0       15104   1030    243     
24          44      0       15054   1078    244     
25          55      0       10680   5218    712     
26          44      0       15075   1059    243     
27          54      0       8531    7513    449     
28          44      0       15070   1064    243     
29          44      0       15045   1089    242     
30          44      0       15077   1057    243     
31          55      0       15720   10      1048    
32          54      0       8759    7285    461     
33          44      0       15103   1031    243     
34          44      0       15049   1083    244     
35          44      0       15062   1070    245     
36          44      0       15077   1057    243     
37          54      0       8265    7779    435     
38          55      0       15720   10      1048    
39          44      0       15067   1067    243     
40          44      0       15064   1068    244     
41          44      0       15100   1032    244     
42          54      0       8303    7741    437     
43          44      0       15070   1064    243     
44          44      0       15050   1084    243     
45          55      0       10485   5419    699     
46          44      0       15095   1039    240     
47          44      0       15049   1085    242     
48          54      0       8721    7323    459     
49          44      0       15052   1082    243     
50          44      0       15074   1060    243     
51          55      0       15720   10      1048    
52          44      0       15072   1062    243     
53          54      0       8227    7817    433     
54          44      0       15084   1048    244     
55          44      0       15052   1082    243     
56          55      0       15720   10      1048    
57          54      0       8303    7741    437     
58          54      0       8436    7608    444     
59          55      0       10875   5015    725     
60          54      0       8588    7456    452     
61          55      0       15720   10      1048    
62          54      0       8379    7665    441     
63          55      0       7860    8130    524     
64          44      0       15095   1039    241     
65          44      0       15078   1054    244     
66          44      0       15047   1087    243     
67          44      0       15083   1049    245     
68          44      0       15101   1031    244     
69          44      0       15065   1069    242     
70          44      0       15053   1081    242     
71          44      0       15046   1088    243     
72          44      0       15079   1055    241     
73          44      0       15070   1064    243     
74          44      0       15052   1082    243     
75          44      0       15077   1055    244     
76          44      0       15056   1076    244     
77          44      0       15100   1032    244     
78          44      0       15043   1091    243     
79          44      0       15066   1068    241     
80          44      0       15081   1053    242     
81          44      0       15062   1072    243     
82          44      0       15067   1067    243     
83          44      0       15078   1056    243     
84          44      0       15084   1050    243     
85          44      0       15063   1071    243     
86          44      0       15062   1072    243     
87          44      0       15068   1064    245     
88          44      0       15080   1054    243     
89          44      0       15090   1044    242     
90          44      0       15071   1061    245     
91          44      0       15102   1032    242     
92          44      0       15049   1085    243     
93          44      0       15088   1046    243     
94          44      0       15101   1031    245     
95          44      0       15075   1059    243     
96          44      0       15094   1038    245     
97          44      0       15078   1054    244     
98          44      0       15060   1074    242     
99          44      0       15065   1069    243     
100         44      0       15072   1062    242     
101         44      0       15061   1073    243     
102         44      0       15069   1065    243     
103         44      0       15049   1085    243     
104         44      0       15090   1042    244     
105         44      0       15087   1047    243     
106         44      0       15088   1046    243     
107         44      0       15096   1036    245     
108         44      0       15056   1076    244     
109         44      0       15104   1030    243     
110         44      0       15083   1051    242     
111         44      0       15060   1072    245     
112         44      0       15064   1070    243     
113         44      0       15065   1069    241     
114         44      0       15083   1051    243     
115         44      0       15041   1093    242     
116         44      0       15073   1061    242     
117         44      0       15099   1033    244     
118         44      0       15049   1085    243     
119         44      0       15088   1046    243     
120         44      0       15059   1073    244     
121         44      0       15051   1083    242     
122         44      0       15092   1040    244     
123         44      0       15045   1089    243     
124         44      0       15067   1067    242     
125         44      0       15089   1043    245     
126         44      0       15076   1058    243     
127         44      0       15059   1075    243     
128         54      0       8360    7684    440     
129         55      0       15720   10      1048    
130         54      0       8626    7418    454     
131         54      0       8303    7741    437     
132         55      0       15720   10      1048    
133         54      0       8398    7644    442     
134         55      0       7860    8130    524     
135         54      0       8474    7570    446     
136         55      0       15720   10      1048    
137         54      0       8702    7342    458     
138         54      0       8265    7779    435     
139         55      0       15720   10      1048    
140         54      0       8227    7817    433     
141         55      0       7860    8130    524     
142         54      0       8626    7418    454     
143         55      0       15720   10      1048    
144         54      0       8816    7228    464     
145         55      0       15720   10      1048    
146         54      0       8322    7722    438     
147         54      0       8322    7722    438     
148         55      0       7860    8130    524     
149         54      0       8740    7302    460     
150         55      0       15720   10      1048    
151         54      0       8151    7893    429     
152         55      0       15720   10      1048    
153         54      0       8341    7703    439     
154         55      0       10785   5109    719     
155         54      0       8816    7228    464     
156         54      0       8740    7304    460     
157         55      0       15720   10      1048    
158         54      0       8341    7703    439     
159         55      0       15720   10      1048    
160         55      0       11190   4690    746     
161         55      0       15720   10      1048    
162         55      0       15720   10      1048    
163         55      0       10710   5186    714     
164         55      0       15720   10      1048    
165         55      0       7860    8130    524     
166         44      1       7872    8134    492     
167         44      1       15744   18      984     
168         44      1       15744   18      984     
169         54      1       7958    8206    346     
170         54      1       8694    7462    378     
171         44      1       2784    13384   174     
172         54      1       8602    7480    374     
173         54      1       7912    8174    344     
174         0       0       0       16384   0       
175         0       0       0       16384   0       
176         0       0       0       16384   0       
177         0       0       0       16384   0       
178         0       0       0       16384   0       
179         0       0       0       16384   0       
180         0       0       0       16384   0       
181         0       0       0       16384   0       
182         0       0       0       16384   0       
183         0       0       0       16384   0       
184         0       0       0       16384   0       
185         0       0       0       16384   0       
186         0       0       0       16384   0       
187         0       0       0       16384   0       
188         0       0       0       16384   0       
189         0       0       0       16384   0       
190         0       0       0       16384   0       
191         0       0       0       16384   0       
192         44      0       15061   1071    244     
193         44      0       15081   1051    244     
194         44      0       15104   1030    243     
195         44      0       15065   1069    242     
196         44      0       15079   1055    243     
197         44      0       15097   1035    244     
198         44      0       15056   1078    243     
199         44      0       15074   1060    241     
200         44      0       15097   1035    245     
201         44      0       15064   1070    243     
202         44      0       15085   1047    245     
203         44      0       15087   1047    243     
204         44      0       15087   1047    243     
205         44      0       15060   1074    243     
206         44      0       15077   1055    244     
207         44      0       15088   1044    244     
208         44      0       15075   1057    246     
209         44      0       15066   1068    243     
210         44      0       15078   1056    243     
211         44      0       15097   1037    240     
212         44      0       15050   1084    242     
213         44      0       15076   1058    243     
214         44      0       15100   1034    243     
215         44      0       15088   1046    243     
216         44      0       15076   1058    243     
217         44      0       15078   1056    243     
218         44      0       15049   1085    242     
219         44      0       15061   1073    243     
220         44      0       15075   1057    244     
221         44      0       15070   1064    242     
222         44      0       15082   1052    242     
223         44      0       15059   1073    244     
224         44      0       15092   1042    242     
225         44      0       15098   1036    243     
226         44      0       15048   1084    244     
227         44      0       15099   1033    244     
228         44      0       15073   1061    242     
229         44      0       15097   1035    244     
230         44      0       15101   1033    243     
231         44      0       15076   1058    243     
232         44      0       15073   1061    243     
233         44      0       15046   1088    243     
234         44      0       15080   1052    244     
235         44      0       15088   1046    242     
236         44      0       15086   1048    243     
237         44      0       15058   1076    243     
238         44      0       15057   1077    243     
239         44      0       15082   1052    243     
240         44      0       15059   1075    242     
241         44      0       15063   1071    241     
242         44      0       15078   1056    242     
243         44      0       15068   1064    244     
244         44      0       15096   1036    245     
245         44      0       15085   1047    244     
246         44      0       15097   1035    244     
247         44      0       15069   1063    244     
248         44      0       15070   1064    243     
249         44      0       15063   1069    244     
