page        index   level   data    free    records 
3           45      1       5360    10746   335     
4           45      0       2300    13908   92      
5           45      0       15225   725     609     
6           45      0       300     15946   12      
7           45      0       7750    8348    310     
8           45      0       15325   623     613     
9           45      0       400     15846   16      
10          45      0       8075    8017    323     
11          45      0       15550   394     622     
12          45      0       625     15615   25      
13          45      0       15125   829     605     
14          45      0       15925   11      637     
15          45      0       1000    15234   40      
16          45      0       14675   1291    587     
17          45      0       14925   1031    597     
18          45      0       1075    15157   43      
19          45      0       14625   1337    585     
20          45      0       14925   1031    597     
21          45      0       1350    14878   54      
22          45      0       14700   1272    588     
23          45      0       14925   1031    597     
24          45      0       1525    14697   61      
25          45      0       14850   1116    594     
26          45      0       14925   1031    597     
27          45      0       1800    14418   72      
28          45      0       14450   1528    578     
29          45      0       14925   1031    597     
30          45      0       2025    14189   81      
31          45      0       14250   1728    570     
32          45      0       14925   1031    597     
33          45      0       2250    13960   90      
34          45      0       14775   1185    591     
35          45      0       14925   1031    597     
36          0       0       0       16384   0       
37          0       0       0       16384   0       
38          0       0       0       16384   0       
39          0       0       0       16384   0       
40          0       0       0       16384   0       
41          0       0       0       16384   0       
42          0       0       0       16384   0       
43          0       0       0       16384   0       
44          0       0       0       16384   0       
45          0       0       0       16384   0       
46          0       0       0       16384   0       
47          0       0       0       16384   0       
48          0       0       0       16384   0       
49          0       0       0       16384   0       
50          0       0       0       16384   0       
51          0       0       0       16384   0       
52          0       0       0       16384   0       
53          0       0       0       16384   0       
54          0       0       0       16384   0       
55          0       0       0       16384   0       
56          0       0       0       16384   0       
57          0       0       0       16384   0       
58          0       0       0       16384   0       
59          0       0       0       16384   0       
60          0       0       0       16384   0       
61          0       0       0       16384   0       
62          0       0       0       16384   0       
63          0       0       0       16384   0       
64          45      0       1825    14393   73      
65          45      0       14675   1299    587     
66          45      0       14925   1031    597     
67          45      0       325     15923   13      
68          45      0       14475   1497    579     
69          45      0       14925   1031    597     
70          45      0       10900   5136    436     
71          45      0       4175    11997   167     
72          45      0       14850   1108    594     
73          45      0       14675   1297    587     
74          45      0       15200   756     608     
75          45      0       15825   113     633     
76          45      0       4400    11768   176     
77          45      0       14925   1037    597     
78          45      0       14500   1466    580     
79          45      0       14850   1110    594     
80          45      0       14925   1035    597     
81          45      0       14550   1418    582     
82          45      0       25      16227   1       
83          45      0       25      16227   1       
84          45      0       14575   1393    583     
85          45      0       14725   1237    589     
86          45      0       14925   1041    597     
87          45      0       6050    10086   242     
88          45      0       15525   419     621     
89          45      0       14925   1037    597     
90          45      0       14025   1953    561     
91          45      0       14500   1474    580     
92          45      0       1275    14953   51      
93          45      0       15400   546     616     
94          45      0       14850   1110    594     
95          45      0       14925   1037    597     
96          45      0       14475   1497    579     
97          45      0       1350    14878   54      
98          45      0       15450   496     618     
99          45      0       13950   2032    558     
100         45      0       1500    14724   60      
101         45      0       15475   473     619     
102         45      0       14775   1185    591     
103         45      0       1550    14674   62      
104         45      0       14925   1035    597     
105         45      0       14450   1524    578     
106         45      0       14225   1749    569     
107         45      0       15575   369     623     
108         45      0       1600    14622   64      
109         45      0       1625    14597   65      
110         45      0       15425   521     617     
111         45      0       1725    14495   69      
112         45      0       1800    14418   72      
113         45      0       15750   190     630     
114         45      0       1825    14393   73      
115         45      0       14875   1083    595     
116         45      0       15600   344     624     
117         45      0       14850   1110    594     
118         45      0       15125   829     605     
119         45      0       15225   727     609     
120         45      0       5525    10621   221     
121         45      0       1200    15030   48      
122         45      0       15375   573     615     
123         45      0       14300   1674    572     
124         45      0       1375    14853   55      
125         45      0       15150   802     606     
126         45      0       1425    14801   57      
127         45      0       1475    14749   59      
128         45      0       15300   648     612     
129         45      0       14600   1368    584     
130         45      0       14375   1597    575     
131         45      0       1525    14699   61      
132         45      0       6225    9905    249     
133         45      0       14725   1237    589     
134         45      0       14925   1031    597     
135         45      0       14250   1734    570     
136         45      0       14500   1470    580     
137         45      0       15400   546     616     
138         45      0       1575    14647   63      
139         45      0       13625   2357    545     
140         45      0       14925   1031    597     
141         45      0       1825    14393   73      
142         45      0       14525   1449    581     
143         45      0       15900   36      636     
144         45      0       14450   1530    578     
145         45      0       14825   1135    593     
146         45      0       14925   1031    597     
147         45      0       1625    14597   65      
148         45      0       14725   1237    589     
149         45      0       14925   1031    597     
150         45      0       3300    12890   132     
151         45      0       14800   1174    592     
152         45      0       14925   1031    597     
153         45      0       14550   1418    582     
154         45      0       14975   981     599     
155         45      0       14925   1031    597     
156         45      0       14825   1135    593     
157         45      0       14725   1239    589     
158         45      0       14925   1031    597     
159         45      0       14750   1220    590     
160         45      0       15250   700     610     
161         45      0       14925   1031    597     
162         45      0       525     15721   21      
163         45      0       14800   1158    592     
164         45      0       14925   1031    597     
165         45      0       275     15975   11      
166         45      0       14950   1004    598     
167         45      0       14925   1031    597     
168         45      0       950     15288   38      
169         45      0       15900   36      636     
170         45      0       1675    14545   67      
171         45      0       15000   956     600     
172         45      0       7950    8144    318     
173         45      0       14725   1235    589     
174         45      0       8250    7842    330     
175         45      0       15900   36      636     
176         45      0       175     16075   7       
177         45      0       9375    6699    375     
178         45      0       15450   496     618     
179         45      0       2475    13729   99      
180         45      0       14800   1164    592     
181         45      0       15825   113     633     
182         45      0       14825   1135    593     
183         45      0       14250   1734    570     
184         45      0       14925   1035    597     
185         45      0       14475   1497    579     
186         45      0       14825   1135    593     
187         45      0       15550   394     622     
188         45      0       14450   1522    578     
189         45      0       14775   1187    591     
190         45      0       15450   496     618     
191         45      0       50      16202   2       
192         45      0       3625    12557   145     
193         45      0       15050   906     602     
194         45      0       125     16127   5       
195         45      0       13950   2040    558     
196         45      0       15275   675     611     
197         45      0       14600   1368    584     
198         45      0       15525   419     621     
199         45      0       6875    9243    275     
200         45      0       875     15363   35      
201         45      0       14700   1268    588     
202         45      0       14925   1033    597     
203         45      0       14300   1676    572     
204         45      0       13975   2009    559     
205         45      0       14925   1035    597     
206         45      0       14500   1474    580     
207         45      0       8475    7611    339     
208         45      0       15200   752     608     
209         45      0       14725   1243    589     
210         45      0       14775   1187    591     
211         45      0       15525   419     621     
212         45      0       14950   1006    598     
213         45      0       4025    12149   161     
214         45      0       14925   1035    597     
215         45      0       14175   1809    567     
216         45      0       14850   1108    594     
217         45      0       14950   1008    598     
218         45      0       15050   904     602     
219         45      0       14800   1166    592     
220         45      0       15450   498     618     
221         45      0       14900   1058    596     
222         45      0       14750   1224    590     
223         45      0       15075   879     603     
224         45      0       14300   1682    572     
225         45      0       14975   983     599     
226         45      0       7050    9062    282     
227         45      0       14875   1085    595     
228         45      0       14450   1518    578     
229         45      0       15500   444     620     
230         45      0       15300   648     612     
231         45      0       14650   1314    586     
232         45      0       15150   802     606     
233         45      0       11175   4857    447     
234         45      0       13450   2534    538     
235         45      0       14925   1031    597     
236         45      0       14575   1391    583     
237         45      0       14225   1763    569     
238         45      0       15475   471     619     
