page        index   level   data    free    records 
3           47      2       1044    15194   58      
4           53      2       768     15470   32      
5           47      0       7524    8672    114     
6           47      0       15048   1092    228     
7           47      0       15048   1092    228     
8           47      0       15048   1092    228     
9           53      0       9900    6184    495     
10          53      0       11160   4900    558     
11          47      0       15048   1092    228     
12          47      0       15048   1092    228     
13          47      0       15048   1092    228     
14          47      0       15048   1092    228     
15          53      0       10980   5080    549     
16          53      0       11240   4814    562     
17          47      0       15048   1092    228     
18          47      0       15048   1092    228     
19          47      0       15048   1092    228     
20          47      0       15048   1092    228     
21          47      0       15048   1092    228     
22          47      0       15048   1092    228     
23          53      0       11800   4254    590     
24          47      0       15048   1092    228     
25          53      0       12660   3370    633     
26          53      0       11080   4968    554     
27          53      0       12440   3588    622     
28          47      0       15048   1092    228     
29          47      0       15048   1092    228     
30          47      0       15048   1092    228     
31          47      0       15048   1092    228     
32          47      0       15048   1092    228     
33          47      0       15048   1092    228     
34          47      0       15048   1092    228     
35          47      0       15048   1092    228     
36          47      0       15048   1092    228     
37          47      0       15048   1092    228     
38          47      0       15048   1092    228     
39          53      0       13280   2740    664     
40          47      0       15048   1092    228     
41          53      0       12580   3446    629     
42          47      0       15048   1092    228     
43          53      0       13800   2206    690     
44          47      0       15048   1092    228     
45          53      0       12880   3144    644     
46          53      0       10960   5098    548     
47          53      0       13940   2070    697     
48          53      0       12000   4048    600     
49          47      0       15048   1092    228     
50          53      0       12460   3572    623     
51          47      0       15048   1092    228     
52          47      0       15048   1092    228     
53          53      0       9900    6182    495     
54          53      0       7840    8274    392     
55          53      0       10660   5402    533     
56          53      0       11440   4616    572     
57          53      0       11840   4208    592     
58          53      0       11200   4856    560     
59          53      0       11660   4390    583     
60          53      0       13780   2234    689     
61          53      0       12680   3342    634     
62          53      0       11640   4410    582     
63          53      0       11200   4852    560     
64          47      0       15048   1092    228     
65          47      0       15048   1092    228     
66          47      0       15048   1092    228     
67          47      0       15048   1092    228     
68          47      0       15048   1092    228     
69          47      0       15048   1092    228     
70          47      0       15048   1092    228     
71          47      0       15048   1092    228     
72          47      0       15048   1092    228     
73          47      0       15048   1092    228     
74          47      0       15048   1092    228     
75          47      0       15048   1092    228     
76          47      0       15048   1092    228     
77          47      0       15048   1092    228     
78          47      0       15048   1092    228     
79          47      0       15048   1092    228     
80          47      0       15048   1092    228     
81          47      0       15048   1092    228     
82          47      0       15048   1092    228     
83          47      0       15048   1092    228     
84          47      0       15048   1092    228     
85          47      0       15048   1092    228     
86          47      0       15048   1092    228     
87          47      0       15048   1092    228     
88          47      0       15048   1092    228     
89          47      0       15048   1092    228     
90          47      0       15048   1092    228     
91          47      0       15048   1092    228     
92          47      0       15048   1092    228     
93          47      0       15048   1092    228     
94          47      0       15048   1092    228     
95          47      0       15048   1092    228     
96          47      0       15048   1092    228     
97          47      0       15048   1092    228     
98          47      0       15048   1092    228     
99          47      0       15048   1092    228     
100         47      0       15048   1092    228     
101         47      0       15048   1092    228     
102         47      0       15048   1092    228     
103         47      0       15048   1092    228     
104         47      0       15048   1092    228     
105         47      0       15048   1092    228     
106         47      0       15048   1092    228     
107         47      0       15048   1092    228     
108         47      0       15048   1092    228     
109         47      0       15048   1092    228     
110         47      0       15048   1092    228     
111         47      0       15048   1092    228     
112         47      0       15048   1092    228     
113         47      0       15048   1092    228     
114         47      0       15048   1092    228     
115         47      0       15048   1092    228     
116         47      0       15048   1092    228     
117         47      0       15048   1092    228     
118         47      0       15048   1092    228     
119         47      0       15048   1092    228     
120         47      0       15048   1092    228     
121         47      0       15048   1092    228     
122         47      0       15048   1092    228     
123         47      0       15048   1092    228     
124         47      0       15774   362     239     
