page        index   level   data    free    records 
3           46      2       51      16201   3       
4           51      2       42      16210   2       
5           46      0       7486    8668    197     
6           46      0       15010   1048    395     
7           46      0       15010   1048    395     
8           51      0       14025   1939    825     
9           51      0       13600   2364    800     
10          46      0       15010   1048    395     
11          46      0       15010   1048    395     
12          46      0       15086   970     397     
13          51      0       13532   2432    796     
14          51      0       8279    7809    487     
15          46      0       15154   898     406     
16          46      0       15022   1030    406     
17          46      0       8437    7703    228     
18          51      0       9554    6470    562     
19          46      0       15010   1048    395     
20          51      0       9248    6814    544     
21          46      0       15010   1048    395     
22          46      0       15010   1048    395     
23          51      0       10438   5594    614     
24          46      0       15010   1048    395     
25          46      0       15219   835     402     
26          51      0       10829   5177    637     
27          46      0       15022   1030    406     
28          51      0       8364    7698    492     
29          51      0       9350    6678    550     
30          46      0       14985   1067    405     
31          46      0       15010   1048    395     
32          51      0       12223   3759    719     
33          46      0       15010   1048    395     
34          51      0       15096   840     888     
35          46      0       15010   1048    395     
36          46      0       15010   1048    395     
37          51      0       8177    7909    481     
38          46      0       15048   1008    396     
39          51      0       14433   1523    849     
40          46      0       15182   870     406     
41          46      0       15022   1030    406     
42          46      0       9436    6692    255     
43          51      0       8279    7757    487     
44          46      0       15010   1048    395     
45          51      0       11135   4875    655     
46          46      0       15010   1048    395     
47          51      0       11951   4055    703     
48          46      0       15010   1048    395     
49          46      0       15010   1048    395     
50          46      0       15209   845     401     
51          51      0       8449    7623    497     
52          51      0       10302   5712    606     
53          46      0       15022   1030    406     
54          46      0       14985   1067    405     
55          46      0       15010   1048    395     
56          51      0       11186   4808    658     
57          51      0       8194    7896    482     
58          51      0       8007    8081    471     
59          51      0       13362   2612    786     
60          51      0       8755    7271    515     
61          51      0       11203   4763    659     
62          51      0       11543   4475    679     
63          51      0       13447   2523    791     
64          46      0       15010   1048    395     
65          46      0       15010   1048    395     
66          46      0       15010   1048    395     
67          46      0       15048   1010    396     
68          46      0       15209   843     406     
69          46      0       15022   1030    406     
70          46      0       9917    6203    268     
71          46      0       15010   1048    395     
72          46      0       15010   1048    395     
73          46      0       15010   1048    395     
74          46      0       15010   1048    395     
75          46      0       15197   857     400     
76          46      0       15022   1030    406     
77          46      0       14985   1067    405     
78          46      0       15010   1048    395     
79          46      0       15010   1048    395     
80          46      0       15010   1048    395     
81          46      0       15010   1048    395     
82          46      0       15010   1048    395     
83          46      0       15199   853     405     
84          46      0       15022   1030    406     
85          46      0       11397   4703    308     
86          46      0       15010   1048    395     
87          46      0       15010   1048    395     
88          46      0       15010   1048    395     
89          46      0       15010   1048    395     
90          46      0       15200   854     400     
91          46      0       15047   1007    406     
92          46      0       1037    15203   28      
93          46      0       15010   1048    395     
94          46      0       15010   1048    395     
95          46      0       15010   1048    395     
96          46      0       15010   1048    395     
97          46      0       15010   1048    395     
98          46      0       15226   826     405     
99          46      0       15022   1030    406     
100         46      0       11989   4103    324     
101         46      0       15010   1048    395     
