page        index   level   data    free    records 
3           49      2       782     15450   46      
4           52      2       60      16192   4       
5           49      0       7611    8629    24      
6           49      0       15106   1124    48      
7           49      0       15138   1092    48      
8           49      0       15138   1092    48      
9           49      0       15148   1082    48      
10          49      0       15112   1118    48      
11          49      0       15133   1097    48      
12          49      0       15013   1217    48      
13          49      0       15178   1052    48      
14          49      0       15097   1133    48      
15          49      0       15083   1147    48      
16          49      0       15119   1111    48      
17          49      0       15100   1130    48      
18          49      0       15085   1145    48      
19          49      0       15129   1101    48      
20          49      0       15160   1070    48      
21          49      0       15079   1151    48      
22          49      0       15070   1160    48      
23          49      0       15154   1076    48      
24          49      0       15118   1112    48      
25          49      0       15080   1150    48      
26          49      0       14911   1321    47      
27          49      0       15074   1156    48      
28          49      0       15189   1041    48      
29          49      0       15198   1032    48      
30          49      0       15123   1107    48      
31          49      0       15097   1133    48      
32          49      0       15106   1124    48      
33          49      0       15146   1084    48      
34          49      0       15128   1102    48      
35          52      0       9119    6779    829     
36          52      0       9119    6779    829     
37          49      0       15038   1192    48      
38          49      0       15107   1123    48      
39          52      0       9119    6779    829     
40          52      0       9119    6779    829     
41          52      0       9119    6779    829     
42          52      0       9119    6779    829     
43          52      0       9119    6779    829     
44          52      0       9119    6779    829     
45          52      0       9119    6779    829     
46          52      0       9119    6779    829     
47          52      0       9119    6779    829     
48          52      0       9119    6779    829     
49          52      0       9119    6779    829     
50          52      0       9119    6779    829     
51          52      0       9119    6779    829     
52          52      0       9119    6779    829     
53          52      0       9119    6779    829     
54          52      0       9119    6779    829     
55          52      0       9119    6779    829     
56          52      0       9119    6779    829     
57          52      0       9119    6779    829     
58          52      0       9119    6779    829     
59          52      0       9119    6779    829     
60          52      0       9119    6779    829     
61          52      0       9119    6779    829     
62          52      0       9119    6779    829     
63          52      0       9119    6779    829     
64          49      0       15049   1181    48      
65          49      0       15147   1083    48      
66          49      0       15138   1092    48      
67          49      0       15198   1032    48      
68          49      0       15122   1108    48      
69          49      0       15121   1109    48      
70          49      0       15147   1083    48      
71          49      0       15072   1158    48      
72          49      0       15037   1193    48      
73          49      0       15152   1078    48      
74          49      0       15120   1110    48      
75          49      0       15105   1125    48      
76          49      0       15119   1111    48      
77          49      0       15157   1073    48      
78          49      0       15105   1125    48      
79          49      0       15108   1122    48      
80          49      0       15080   1150    48      
81          49      0       15149   1081    48      
82          49      0       15088   1142    48      
83          49      0       15043   1187    48      
84          49      0       15150   1080    48      
85          49      0       15091   1139    48      
86          49      0       15112   1118    48      
87          49      0       15165   1065    48      
88          49      0       15003   1227    48      
89          49      0       15094   1136    48      
90          49      0       15113   1117    48      
91          49      0       15094   1136    48      
92          49      0       15098   1132    48      
93          49      0       15106   1124    48      
94          49      0       15168   1062    48      
95          49      0       15166   1064    48      
96          49      0       15055   1175    48      
97          49      0       14916   1316    47      
98          49      0       15079   1151    48      
99          49      0       15099   1131    48      
100         49      0       15084   1146    48      
101         49      0       15077   1153    48      
102         49      0       15152   1078    48      
103         49      0       15186   1044    48      
104         49      0       15172   1058    48      
105         49      0       15188   1042    48      
106         49      0       15072   1158    48      
107         49      0       15200   1030    48      
108         49      0       15130   1100    48      
109         49      0       15109   1121    48      
110         49      0       15150   1080    48      
111         49      0       15137   1093    48      
112         49      0       14922   1310    47      
113         49      0       15153   1077    48      
114         49      0       15121   1109    48      
115         49      0       15102   1128    48      
116         49      0       15168   1062    48      
117         49      0       15168   1062    48      
118         49      0       15168   1062    48      
119         49      0       15164   1066    48      
120         49      0       15120   1110    48      
121         49      0       15100   1130    48      
122         49      0       15146   1084    48      
123         49      0       14979   1251    48      
124         49      0       15134   1096    48      
125         49      0       14999   1231    48      
126         49      0       15052   1178    48      
127         49      0       15172   1058    48      
128         49      0       15121   1109    48      
129         49      0       15165   1065    48      
130         49      0       15101   1129    48      
131         49      0       15110   1120    48      
132         49      0       15114   1116    48      
133         49      0       15079   1151    48      
134         49      0       15071   1159    48      
135         49      0       15105   1125    48      
136         49      0       15181   1049    48      
137         49      0       15147   1083    48      
138         49      0       15100   1130    48      
139         49      0       15162   1068    48      
140         49      0       15169   1061    48      
141         49      0       15091   1139    48      
142         49      0       15110   1120    48      
143         49      0       15072   1158    48      
144         49      0       15195   1035    48      
145         49      0       15076   1154    48      
146         49      0       15151   1079    48      
147         49      0       15136   1094    48      
148         49      0       15107   1123    48      
149         49      0       15090   1140    48      
150         49      0       15176   1054    48      
151         49      0       15169   1061    48      
152         49      0       15104   1126    48      
153         49      0       15123   1107    48      
154         49      0       15032   1198    48      
155         49      0       15157   1073    48      
156         49      0       15096   1134    48      
157         49      0       15092   1138    48      
158         49      0       15092   1138    48      
159         49      0       15154   1076    48      
160         49      0       15043   1187    48      
161         49      0       15094   1136    48      
162         49      0       15011   1219    48      
163         49      0       15106   1124    48      
164         49      0       15200   1030    48      
165         49      0       15144   1086    48      
166         49      0       15123   1107    48      
167         49      0       15082   1148    48      
168         49      0       15189   1041    48      
169         49      0       15163   1067    48      
170         49      0       15105   1125    48      
171         49      0       15140   1090    48      
172         49      0       15081   1149    48      
173         49      0       15141   1089    48      
174         49      0       15120   1110    48      
175         49      0       15080   1150    48      
176         49      0       15201   1029    48      
177         49      0       15103   1127    48      
178         49      0       15154   1076    48      
179         49      0       15111   1119    48      
180         49      0       15116   1114    48      
181         49      0       15112   1118    48      
182         49      0       15099   1131    48      
183         49      0       15086   1144    48      
184         49      0       15175   1055    48      
185         49      0       15060   1170    48      
186         49      0       15124   1106    48      
187         49      0       15156   1074    48      
188         49      0       15157   1073    48      
189         49      0       15090   1140    48      
190         49      0       15107   1123    48      
191         49      0       15135   1095    48      
192         49      0       15175   1055    48      
193         49      0       15098   1132    48      
194         49      0       15183   1047    48      
195         49      0       15054   1176    48      
196         49      0       15094   1136    48      
197         49      0       15149   1081    48      
198         49      0       15202   1028    48      
199         49      0       15132   1098    48      
200         49      0       15063   1167    48      
201         49      0       15146   1084    48      
202         49      0       15097   1133    48      
203         49      0       15142   1088    48      
204         49      0       15132   1098    48      
205         49      0       15138   1092    48      
206         49      0       15132   1098    48      
207         49      0       15126   1104    48      
208         49      0       15112   1118    48      
209         49      0       15172   1058    48      
210         49      0       15148   1082    48      
211         49      0       15170   1060    48      
212         49      0       15055   1175    48      
213         49      0       15134   1096    48      
214         49      0       15020   1210    48      
215         49      0       15173   1057    48      
216         49      0       15149   1081    48      
217         49      0       15171   1059    48      
218         49      0       15140   1090    48      
219         49      0       15113   1117    48      
220         49      0       15057   1173    48      
221         49      0       15150   1080    48      
222         49      0       15129   1101    48      
223         49      0       15082   1148    48      
224         49      0       15092   1138    48      
225         49      0       15191   1039    48      
226         49      0       15042   1188    48      
227         49      0       15057   1173    48      
228         49      0       15101   1129    48      
229         49      0       15054   1176    48      
230         49      0       15129   1101    48      
231         49      0       15080   1150    48      
232         49      0       15139   1091    48      
233         49      0       15099   1131    48      
234         49      0       14931   1301    47      
235         49      0       15039   1191    48      
236         49      0       15038   1192    48      
237         49      0       15007   1223    48      
238         49      0       15109   1121    48      
239         49      0       15031   1199    48      
240         49      0       15104   1126    48      
241         49      0       15113   1117    48      
242         49      0       14891   1341    47      
243         49      0       15186   1044    48      
244         49      0       15130   1100    48      
245         49      0       15140   1090    48      
246         49      0       15141   1089    48      
247         49      0       15161   1069    48      
248         49      0       15128   1102    48      
249         49      0       15180   1050    48      
250         49      0       15026   1204    48      
251         49      0       15060   1170    48      
252         49      0       15189   1041    48      
253         49      0       15081   1149    48      
254         49      0       15139   1091    48      
255         49      0       15078   1152    48      
256         49      0       15114   1116    48      
257         49      0       15068   1162    48      
258         49      0       15125   1105    48      
259         49      0       15156   1074    48      
260         49      0       15159   1071    48      
261         49      0       15091   1139    48      
262         49      0       15169   1061    48      
263         49      0       15164   1066    48      
264         49      0       15059   1171    48      
265         49      0       15127   1103    48      
266         49      0       15074   1156    48      
267         49      0       15095   1135    48      
268         49      0       15106   1124    48      
269         49      0       15151   1079    48      
270         49      0       15127   1103    48      
271         49      0       15137   1093    48      
272         49      0       15138   1092    48      
273         49      0       15047   1183    48      
274         49      0       15137   1093    48      
275         49      0       15086   1144    48      
276         49      0       15189   1041    48      
277         49      0       15070   1160    48      
278         49      0       15089   1141    48      
279         49      0       15089   1141    48      
280         49      0       15192   1038    48      
281         49      0       15161   1069    48      
282         49      0       14900   1332    47      
283         49      0       15158   1072    48      
284         49      0       15044   1186    48      
285         49      0       15147   1083    48      
286         49      0       15138   1092    48      
287         49      0       15096   1134    48      
288         49      0       15089   1141    48      
289         49      0       15160   1070    48      
290         49      0       15084   1146    48      
291         49      0       15123   1107    48      
292         49      0       15099   1131    48      
293         49      0       15115   1115    48      
294         49      0       15196   1034    48      
295         49      0       15120   1110    48      
296         49      0       15159   1071    48      
297         49      0       15119   1111    48      
298         49      0       15070   1160    48      
299         49      0       15050   1180    48      
300         49      0       15123   1107    48      
301         49      0       15116   1114    48      
302         49      0       15078   1152    48      
303         49      0       15137   1093    48      
304         49      0       15151   1079    48      
305         49      0       15081   1149    48      
306         49      0       15133   1097    48      
307         49      0       15037   1193    48      
308         49      0       15149   1081    48      
309         49      0       15129   1101    48      
310         49      0       15044   1186    48      
311         49      0       15088   1142    48      
312         49      0       15057   1173    48      
313         49      0       15166   1064    48      
314         49      0       15101   1129    48      
315         49      0       15141   1089    48      
316         49      0       15145   1085    48      
317         49      0       15074   1156    48      
318         49      0       15115   1115    48      
319         49      0       15117   1113    48      
320         49      0       15174   1056    48      
321         49      0       15105   1125    48      
322         49      0       15078   1152    48      
323         49      0       15144   1086    48      
324         49      0       15073   1157    48      
325         49      0       15088   1142    48      
326         49      0       14908   1324    47      
327         49      0       15124   1106    48      
328         49      0       15145   1085    48      
329         49      0       15130   1100    48      
330         49      0       15157   1073    48      
331         49      0       15136   1094    48      
332         49      0       15090   1140    48      
333         49      0       15165   1065    48      
334         49      0       15123   1107    48      
335         49      0       15163   1067    48      
336         49      0       15165   1065    48      
337         49      0       15149   1081    48      
338         49      0       15055   1175    48      
339         49      0       15037   1193    48      
340         49      0       15139   1091    48      
341         49      0       15103   1127    48      
342         49      0       15112   1118    48      
343         49      0       15133   1097    48      
344         49      0       15177   1053    48      
345         49      0       15190   1040    48      
346         49      0       15156   1074    48      
347         49      0       15120   1110    48      
348         49      0       15151   1079    48      
349         49      0       15126   1104    48      
350         49      0       15109   1121    48      
