page        index   level   data    free    records 
3           45      1       4848    11256   303     
4           45      0       7450    8654    298     
5           45      0       14925   1031    597     
6           45      0       14925   1031    597     
7           45      0       14925   1031    597     
8           45      0       14925   1031    597     
9           45      0       14925   1031    597     
10          45      0       14925   1031    597     
11          45      0       14925   1031    597     
12          45      0       14925   1031    597     
13          45      0       14925   1031    597     
14          45      0       14925   1031    597     
15          45      0       14925   1031    597     
16          45      0       14925   1031    597     
17          45      0       14925   1031    597     
18          45      0       14925   1031    597     
19          45      0       14925   1031    597     
20          45      0       14925   1031    597     
21          45      0       14925   1031    597     
22          45      0       14925   1031    597     
23          45      0       14925   1031    597     
24          45      0       14925   1031    597     
25          45      0       14925   1031    597     
26          45      0       14925   1031    597     
27          45      0       14925   1031    597     
28          45      0       14925   1031    597     
29          45      0       14925   1031    597     
30          45      0       14925   1031    597     
31          45      0       14925   1031    597     
32          45      0       14925   1031    597     
33          45      0       14925   1031    597     
34          45      0       14925   1031    597     
35          45      0       14925   1031    597     
36          0       0       0       16384   0       
37          0       0       0       16384   0       
38          0       0       0       16384   0       
39          0       0       0       16384   0       
40          0       0       0       16384   0       
41          0       0       0       16384   0       
42          0       0       0       16384   0       
43          0       0       0       16384   0       
44          0       0       0       16384   0       
45          0       0       0       16384   0       
46          0       0       0       16384   0       
47          0       0       0       16384   0       
48          0       0       0       16384   0       
49          0       0       0       16384   0       
50          0       0       0       16384   0       
51          0       0       0       16384   0       
52          0       0       0       16384   0       
53          0       0       0       16384   0       
54          0       0       0       16384   0       
55          0       0       0       16384   0       
56          0       0       0       16384   0       
57          0       0       0       16384   0       
58          0       0       0       16384   0       
59          0       0       0       16384   0       
60          0       0       0       16384   0       
61          0       0       0       16384   0       
62          0       0       0       16384   0       
63          0       0       0       16384   0       
64          45      0       14925   1031    597     
65          45      0       14925   1031    597     
66          45      0       14925   1031    597     
67          45      0       14925   1031    597     
68          45      0       14925   1031    597     
69          45      0       14925   1031    597     
70          45      0       14925   1031    597     
71          45      0       14925   1031    597     
72          45      0       14925   1031    597     
73          45      0       14925   1031    597     
74          45      0       14925   1031    597     
75          45      0       14925   1031    597     
76          45      0       14925   1031    597     
77          45      0       14925   1031    597     
78          45      0       14925   1031    597     
79          45      0       14925   1031    597     
80          45      0       14925   1031    597     
81          45      0       14925   1031    597     
82          45      0       14925   1031    597     
83          45      0       14925   1031    597     
84          45      0       14925   1031    597     
85          45      0       14925   1031    597     
86          45      0       14925   1031    597     
87          45      0       14925   1031    597     
88          45      0       14925   1031    597     
89          45      0       14925   1031    597     
90          45      0       14925   1031    597     
91          45      0       14925   1031    597     
92          45      0       14925   1031    597     
93          45      0       14925   1031    597     
94          45      0       14925   1031    597     
95          45      0       14925   1031    597     
96          45      0       14925   1031    597     
97          45      0       14925   1031    597     
98          45      0       14925   1031    597     
99          45      0       14925   1031    597     
100         45      0       14925   1031    597     
101         45      0       14925   1031    597     
102         45      0       14925   1031    597     
103         45      0       14925   1031    597     
104         45      0       14925   1031    597     
105         45      0       14925   1031    597     
106         45      0       14925   1031    597     
107         45      0       14925   1031    597     
108         45      0       14925   1031    597     
109         45      0       14925   1031    597     
110         45      0       14925   1031    597     
111         45      0       14925   1031    597     
112         45      0       14925   1031    597     
113         45      0       14925   1031    597     
114         45      0       14925   1031    597     
115         45      0       14925   1031    597     
116         45      0       14925   1031    597     
117         45      0       14925   1031    597     
118         45      0       14925   1031    597     
119         45      0       14925   1031    597     
120         45      0       14925   1031    597     
121         45      0       14925   1031    597     
122         45      0       14925   1031    597     
123         45      0       14925   1031    597     
124         45      0       14925   1031    597     
125         45      0       14925   1031    597     
126         45      0       14925   1031    597     
127         45      0       14925   1031    597     
128         45      0       14925   1031    597     
129         45      0       14925   1031    597     
130         45      0       14925   1031    597     
131         45      0       14925   1031    597     
132         45      0       14925   1031    597     
133         45      0       14925   1031    597     
134         45      0       14925   1031    597     
135         45      0       14925   1031    597     
136         45      0       14925   1031    597     
137         45      0       14925   1031    597     
138         45      0       14925   1031    597     
139         45      0       14925   1031    597     
140         45      0       14925   1031    597     
141         45      0       14925   1031    597     
142         45      0       14925   1031    597     
143         45      0       14925   1031    597     
144         45      0       14925   1031    597     
145         45      0       14925   1031    597     
146         45      0       14925   1031    597     
147         45      0       14925   1031    597     
148         45      0       14925   1031    597     
149         45      0       14925   1031    597     
150         45      0       14925   1031    597     
151         45      0       14925   1031    597     
152         45      0       14925   1031    597     
153         45      0       14925   1031    597     
154         45      0       14925   1031    597     
155         45      0       14925   1031    597     
156         45      0       14925   1031    597     
157         45      0       14925   1031    597     
158         45      0       14925   1031    597     
159         45      0       14925   1031    597     
160         45      0       14925   1031    597     
161         45      0       14925   1031    597     
162         45      0       14925   1031    597     
163         45      0       14925   1031    597     
164         45      0       14925   1031    597     
165         45      0       14925   1031    597     
166         45      0       14925   1031    597     
167         45      0       14925   1031    597     
168         45      0       14925   1031    597     
169         45      0       14925   1031    597     
170         45      0       14925   1031    597     
171         45      0       14925   1031    597     
172         45      0       14925   1031    597     
173         45      0       14925   1031    597     
174         45      0       14925   1031    597     
175         45      0       14925   1031    597     
176         45      0       14925   1031    597     
177         45      0       14925   1031    597     
178         45      0       14925   1031    597     
179         45      0       14925   1031    597     
180         45      0       14925   1031    597     
181         45      0       14925   1031    597     
182         45      0       14925   1031    597     
183         45      0       14925   1031    597     
184         45      0       14925   1031    597     
185         45      0       14925   1031    597     
186         45      0       14925   1031    597     
187         45      0       14925   1031    597     
188         45      0       14925   1031    597     
189         45      0       14925   1031    597     
190         45      0       14925   1031    597     
