page        index   level   data    free    records 
3           43      2       532     15708   28      
4           50      2       346     15904   8       
5           43      0       7246    9000    13      
6           43      0       14766   1476    26      
7           43      0       14781   1461    26      
8           43      0       14756   1486    27      
9           43      0       15185   1057    27      
10          43      0       15137   1105    27      
11          43      0       15134   1108    27      
12          43      0       14956   1286    26      
13          43      0       14771   1471    26      
14          43      0       15185   1057    27      
15          43      0       15166   1076    27      
16          43      0       14962   1280    27      
17          43      0       15176   1066    27      
18          43      0       15144   1098    27      
19          43      0       14796   1446    26      
20          43      0       15164   1078    27      
21          43      0       14740   1502    26      
22          50      0       9741    6407    250     
23          50      0       9462    6692    236     
24          43      0       15014   1228    27      
25          43      0       14888   1354    26      
26          43      0       14788   1454    26      
27          43      0       14968   1274    27      
28          43      0       14934   1308    27      
29          43      0       15178   1064    26      
30          43      0       14960   1282    26      
31          43      0       14730   1512    27      
32          43      0       15163   1079    27      
33          43      0       14956   1286    27      
34          43      0       14779   1463    26      
35          50      0       11462   4676    302     
36          43      0       14736   1506    26      
37          43      0       14935   1307    26      
38          43      0       14692   1550    26      
39          43      0       14838   1404    26      
40          50      0       10854   5294    276     
41          50      0       10127   6021    262     
42          50      0       13741   2383    345     
43          50      0       13824   2298    347     
44          50      0       9744    6406    255     
45          50      0       7964    8200    208     
46          50      0       9726    6426    249     
47          50      0       9285    6867    238     
48          50      0       11726   4406    302     
49          50      0       14220   1904    355     
50          50      0       8049    8133    206     
51          50      0       8227    7921    216     
52          50      0       9877    6275    246     
53          50      0       15083   1037    385     
54          50      0       8100    8076    211     
55          50      0       12323   3815    314     
56          50      0       10089   6059    265     
57          50      0       8607    7545    215     
58          50      0       8037    8115    207     
59          50      0       8655    7493    227     
60          50      0       8296    7856    212     
61          50      0       8104    8048    207     
62          50      0       14907   1213    374     
63          50      0       14720   1402    371     
64          43      0       14856   1386    27      
65          43      0       15123   1119    27      
66          43      0       14906   1336    26      
67          43      0       14695   1547    27      
68          43      0       14716   1526    26      
69          43      0       14656   1586    26      
70          43      0       14672   1570    26      
71          43      0       14923   1319    26      
72          43      0       14985   1257    27      
73          43      0       14881   1361    26      
74          43      0       15161   1079    28      
75          43      0       14780   1462    26      
76          43      0       14596   1646    26      
77          43      0       14687   1555    25      
78          43      0       14688   1554    27      
79          43      0       14967   1275    26      
80          43      0       15125   1115    28      
81          43      0       14982   1260    27      
82          43      0       14920   1322    27      
83          43      0       14843   1399    27      
84          43      0       14738   1504    25      
85          43      0       14821   1421    26      
86          43      0       15168   1072    28      
87          43      0       15082   1160    26      
88          43      0       15086   1156    27      
89          43      0       15116   1126    27      
90          43      0       14727   1515    27      
91          43      0       14870   1372    27      
92          43      0       14987   1255    26      
93          43      0       14583   1659    26      
94          43      0       15127   1115    27      
95          43      0       14785   1457    26      
96          43      0       15081   1161    26      
97          43      0       15176   1066    27      
98          43      0       14856   1386    26      
99          43      0       14963   1279    26      
100         43      0       14642   1600    26      
101         43      0       14977   1265    26      
102         43      0       14780   1462    27      
103         43      0       14715   1527    26      
104         43      0       14800   1442    26      
105         43      0       15037   1203    28      
106         43      0       14857   1385    26      
107         43      0       14698   1544    26      
108         43      0       14920   1322    27      
109         43      0       14793   1449    26      
110         43      0       14716   1526    26      
111         43      0       14731   1511    26      
112         43      0       14932   1310    26      
113         43      0       14634   1608    26      
114         43      0       15160   1082    26      
115         43      0       15153   1089    27      
116         43      0       14932   1310    26      
117         43      0       15017   1225    26      
118         43      0       15060   1182    26      
119         43      0       14673   1569    26      
120         43      0       14904   1338    26      
121         43      0       14810   1432    26      
122         43      0       14645   1597    26      
123         43      0       15088   1154    27      
124         43      0       14755   1487    26      
125         43      0       15176   1066    26      
126         43      0       14614   1628    26      
127         43      0       14757   1485    26      
128         43      0       14787   1455    26      
129         43      0       14617   1625    26      
130         43      0       15024   1218    27      
131         43      0       15061   1181    26      
132         43      0       15168   1074    27      
133         43      0       14798   1444    26      
134         43      0       15079   1163    27      
135         43      0       14803   1439    26      
136         43      0       14926   1316    26      
137         43      0       15004   1238    26      
138         43      0       14904   1338    26      
139         43      0       14936   1306    26      
140         43      0       15178   1064    27      
141         43      0       14640   1602    26      
142         43      0       15021   1221    27      
143         43      0       15075   1167    26      
144         43      0       14963   1277    28      
145         43      0       14985   1257    27      
146         43      0       14931   1311    27      
147         43      0       14808   1434    26      
