page        index   level   data    free    records 
3           48      1       8274    7686    591     
4           48      0       7621    8589    84      
5           48      0       15127   1043    171     
6           48      0       15105   1065    170     
7           48      0       15116   1052    172     
8           48      0       15100   1070    171     
9           48      0       15066   1104    170     
10          48      0       15076   1094    169     
11          48      0       15089   1081    169     
12          48      0       15096   1074    170     
13          48      0       15113   1057    171     
14          48      0       15140   1030    169     
15          48      0       15140   1030    171     
16          48      0       15049   1121    170     
17          48      0       15142   1028    170     
18          48      0       15138   1032    168     
19          48      0       15137   1033    168     
20          48      0       15088   1082    170     
21          48      0       15143   1027    170     
22          48      0       15114   1056    170     
23          48      0       15116   1054    170     
24          48      0       15141   1029    170     
25          48      0       15101   1069    170     
26          48      0       15112   1058    169     
27          48      0       15123   1047    169     
28          48      0       15098   1072    171     
29          48      0       15108   1062    169     
30          48      0       15071   1099    170     
31          48      0       15098   1072    170     
32          48      0       15115   1055    170     
33          48      0       15140   1030    169     
34          48      0       15122   1048    168     
35          48      0       15103   1067    168     
36          0       0       0       16384   0       
37          0       0       0       16384   0       
38          0       0       0       16384   0       
39          0       0       0       16384   0       
40          0       0       0       16384   0       
41          0       0       0       16384   0       
42          0       0       0       16384   0       
43          0       0       0       16384   0       
44          0       0       0       16384   0       
45          0       0       0       16384   0       
46          0       0       0       16384   0       
47          0       0       0       16384   0       
48          0       0       0       16384   0       
49          0       0       0       16384   0       
50          0       0       0       16384   0       
51          0       0       0       16384   0       
52          0       0       0       16384   0       
53          0       0       0       16384   0       
54          0       0       0       16384   0       
55          0       0       0       16384   0       
56          0       0       0       16384   0       
57          0       0       0       16384   0       
58          0       0       0       16384   0       
59          0       0       0       16384   0       
60          0       0       0       16384   0       
61          0       0       0       16384   0       
62          0       0       0       16384   0       
63          0       0       0       16384   0       
64          48      0       15116   1054    169     
65          48      0       15117   1053    169     
66          48      0       15100   1068    172     
67          48      0       15133   1037    170     
68          48      0       15063   1109    167     
69          48      0       15062   1108    169     
70          48      0       15092   1078    168     
71          48      0       15110   1060    169     
72          48      0       15069   1101    169     
73          48      0       15122   1046    172     
74          48      0       15121   1049    170     
75          48      0       15091   1079    171     
76          48      0       15119   1051    168     
77          48      0       15119   1051    169     
78          48      0       15068   1102    169     
79          48      0       15141   1029    170     
80          48      0       15075   1095    169     
81          48      0       15136   1034    170     
82          48      0       15129   1041    169     
83          48      0       15108   1062    169     
84          48      0       15116   1054    170     
85          48      0       15113   1057    169     
86          48      0       15087   1083    170     
87          48      0       15134   1034    173     
88          48      0       15133   1037    171     
89          48      0       15103   1067    168     
90          48      0       15048   1122    169     
91          48      0       15113   1057    169     
92          48      0       15126   1044    170     
93          48      0       15072   1098    168     
94          48      0       15093   1077    170     
95          48      0       15065   1105    168     
96          48      0       15064   1106    168     
97          48      0       15118   1052    170     
98          48      0       15135   1035    170     
99          48      0       15092   1078    171     
100         48      0       15102   1068    168     
101         48      0       15088   1082    169     
102         48      0       15130   1038    172     
103         48      0       15139   1031    169     
104         48      0       15051   1119    170     
105         48      0       15143   1027    170     
106         48      0       15054   1116    169     
107         48      0       15094   1076    171     
108         48      0       15065   1105    169     
109         48      0       15042   1130    167     
110         48      0       15075   1095    169     
111         48      0       15077   1093    168     
112         48      0       15102   1068    170     
113         48      0       15077   1093    170     
114         48      0       15129   1041    170     
115         48      0       15129   1041    169     
116         48      0       15133   1037    169     
117         48      0       15081   1089    168     
118         48      0       15088   1082    170     
119         48      0       15109   1061    169     
120         48      0       15100   1070    170     
121         48      0       15058   1112    169     
122         48      0       15132   1038    170     
123         48      0       15123   1047    171     
124         48      0       15119   1051    169     
125         48      0       15136   1034    170     
126         48      0       15076   1094    169     
127         48      0       15127   1043    171     
128         48      0       15137   1031    172     
129         48      0       15064   1106    170     
130         48      0       15137   1031    173     
131         48      0       15078   1092    171     
132         48      0       15102   1068    170     
133         48      0       15101   1069    168     
134         48      0       15126   1044    170     
135         48      0       15067   1103    171     
136         48      0       15071   1099    169     
137         48      0       15123   1047    169     
138         48      0       15074   1096    170     
139         48      0       15119   1051    168     
140         48      0       15063   1107    168     
141         48      0       15074   1096    170     
142         48      0       15134   1034    172     
143         48      0       15130   1040    169     
144         48      0       15093   1077    170     
145         48      0       15092   1078    169     
146         48      0       15088   1082    169     
147         48      0       15121   1049    169     
148         48      0       15068   1102    169     
149         48      0       15129   1041    170     
150         48      0       15097   1071    172     
151         48      0       15130   1040    169     
152         48      0       15096   1074    169     
153         48      0       15070   1100    170     
154         48      0       15052   1118    168     
155         48      0       15101   1069    168     
156         48      0       15139   1031    171     
157         48      0       15065   1105    169     
158         48      0       15128   1042    170     
159         48      0       15059   1113    166     
160         48      0       15071   1101    167     
161         48      0       15138   1032    169     
162         48      0       15110   1060    169     
163         48      0       15088   1082    169     
164         48      0       15079   1091    168     
165         48      0       15141   1029    171     
166         48      0       15059   1113    167     
167         48      0       15123   1047    169     
168         48      0       15074   1096    171     
169         48      0       15081   1089    171     
170         48      0       15134   1036    168     
171         48      0       15137   1033    171     
172         48      0       15080   1090    171     
173         48      0       15128   1042    170     
174         48      0       15121   1049    171     
175         48      0       15121   1047    173     
176         48      0       15135   1033    172     
177         48      0       15066   1104    168     
178         48      0       15104   1066    169     
179         48      0       15120   1050    171     
180         48      0       15093   1077    170     
181         48      0       15143   1027    170     
182         48      0       15088   1082    169     
183         48      0       15069   1101    168     
184         48      0       15064   1106    169     
185         48      0       15106   1064    170     
186         48      0       15105   1065    169     
187         48      0       15137   1033    169     
188         48      0       15076   1094    169     
189         48      0       15074   1096    169     
190         48      0       15077   1093    170     
191         48      0       15090   1080    170     
192         48      0       15071   1101    167     
193         48      0       15063   1107    171     
194         48      0       15040   1130    169     
195         48      0       15108   1060    173     
196         48      0       15130   1040    171     
197         48      0       15079   1091    169     
198         48      0       15122   1048    168     
199         48      0       15104   1066    170     
200         48      0       15094   1076    171     
201         48      0       15080   1090    170     
202         48      0       15137   1033    169     
203         48      0       15130   1040    170     
204         48      0       15084   1086    170     
205         48      0       15086   1084    171     
206         48      0       15087   1083    170     
207         48      0       15058   1112    169     
208         48      0       15076   1094    170     
209         48      0       15086   1084    171     
210         48      0       15083   1087    170     
211         48      0       15053   1117    168     
212         48      0       15077   1093    168     
213         48      0       15085   1085    171     
214         48      0       15078   1092    170     
215         48      0       15067   1101    172     
216         48      0       15101   1069    170     
217         48      0       15068   1102    171     
218         48      0       15136   1032    172     
219         48      0       15062   1108    170     
220         48      0       15117   1053    171     
221         48      0       15105   1063    172     
222         48      0       15125   1045    168     
223         48      0       15109   1061    170     
224         48      0       15125   1045    169     
225         48      0       15093   1077    169     
226         48      0       15063   1107    169     
227         48      0       15124   1046    170     
228         48      0       15111   1059    171     
229         48      0       15062   1108    170     
230         48      0       15081   1089    171     
231         48      0       15139   1031    171     
232         48      0       15062   1108    169     
233         48      0       15071   1099    169     
234         48      0       15066   1104    169     
235         48      0       15091   1079    171     
236         48      0       15080   1090    168     
237         48      0       15124   1046    169     
238         48      0       15096   1074    168     
239         48      0       15077   1093    169     
240         48      0       15112   1058    170     
241         48      0       15128   1042    170     
242         48      0       15112   1058    169     
243         48      0       15067   1103    170     
244         48      0       15141   1029    171     
245         48      0       15121   1049    169     
246         48      0       15113   1057    170     
247         48      0       15078   1094    166     
248         48      0       15104   1066    170     
249         48      0       15053   1117    169     
250         48      0       15122   1048    168     
251         48      0       15075   1095    170     
252         48      0       15055   1113    172     
253         48      0       15117   1053    170     
254         48      0       15117   1053    170     
255         48      0       15140   1030    169     
256         48      0       15116   1052    172     
257         48      0       15096   1074    170     
258         48      0       15071   1099    170     
259         48      0       15079   1091    169     
260         48      0       15083   1087    168     
261         48      0       15111   1059    170     
262         48      0       15083   1087    169     
263         48      0       15116   1054    170     
264         48      0       15114   1058    167     
265         48      0       15086   1084    169     
266         48      0       15101   1069    171     
267         48      0       15087   1083    171     
268         48      0       15107   1063    170     
269         48      0       15110   1060    170     
270         48      0       15074   1094    172     
271         48      0       15131   1039    169     
272         48      0       15089   1081    169     
273         48      0       15093   1077    168     
274         48      0       15056   1114    171     
275         48      0       15088   1082    169     
276         48      0       15120   1050    169     
277         48      0       15139   1031    171     
278         48      0       15108   1062    169     
279         48      0       15054   1116    170     
280         48      0       15093   1077    168     
281         48      0       15121   1049    169     
282         48      0       15115   1055    171     
283         48      0       15069   1101    170     
284         48      0       15069   1101    168     
285         48      0       15094   1076    170     
286         48      0       15139   1031    168     
287         48      0       15101   1069    170     
288         48      0       15128   1042    171     
289         48      0       15106   1064    168     
290         48      0       15138   1032    169     
291         48      0       15089   1081    169     
292         48      0       15104   1064    172     
293         48      0       15101   1069    168     
294         48      0       15133   1037    171     
295         48      0       15083   1087    170     
296         48      0       15107   1063    169     
297         48      0       15089   1081    171     
298         48      0       15138   1032    169     
299         48      0       15114   1056    170     
300         48      0       15101   1069    168     
301         48      0       15067   1103    168     
