page        index   level   data    free    records 
3           47      2       540     15700   30      
4           53      2       768     15470   32      
5           47      0       7524    8672    114     
6           47      0       15048   1092    228     
7           47      0       15048   1092    228     
8           47      0       15048   1092    228     
9           53      0       9560    6524    478     
10          53      0       11140   4920    557     
11          47      0       15048   1092    228     
12          47      0       15048   1092    228     
13          47      0       15048   1092    228     
14          47      0       15048   1092    228     
15          53      0       10920   5142    546     
16          53      0       11120   4934    556     
17          47      0       15048   1092    228     
18          47      0       15048   1092    228     
19          47      0       15048   1092    228     
20          47      0       15048   1092    228     
21          47      0       15048   1092    228     
22          47      0       15048   1092    228     
23          53      0       11540   4516    577     
24          47      0       15048   1092    228     
25          53      0       11340   4710    567     
26          53      0       10780   5274    539     
27          53      0       11500   4548    575     
28          47      0       15048   1092    228     
29          47      0       15048   1092    228     
30          47      0       15048   1092    228     
31          47      0       15048   1092    228     
32          47      0       15048   1092    228     
33          47      0       15048   1092    228     
34          47      0       15048   1092    228     
35          47      0       15048   1092    228     
36          47      0       15048   1092    228     
37          47      0       15048   1092    228     
38          47      0       15048   1092    228     
39          53      0       12440   3594    622     
40          47      0       15048   1092    228     
41          53      0       12160   3876    608     
42          47      0       15048   1092    228     
43          53      0       13360   2650    668     
44          47      0       15048   1092    228     
45          53      0       11960   4078    598     
46          53      0       10940   5118    547     
47          53      0       13620   2392    681     
48          53      0       9940    6142    497     
49          47      0       15048   1092    228     
50          53      0       11480   4570    574     
51          47      0       15048   1092    228     
52          47      0       15048   1092    228     
53          53      0       13740   2282    687     
54          53      0       13740   2278    687     
55          53      0       10040   6032    502     
56          53      0       11280   4776    564     
57          53      0       11480   4572    574     
58          53      0       10880   5182    544     
59          53      0       11560   4490    578     
60          53      0       11160   4894    558     
61          53      0       10400   5664    520     
62          53      0       11180   4874    559     
63          53      0       10680   5386    534     
64          47      0       15048   1092    228     
65          47      0       15048   1092    228     
66          47      0       15048   1092    228     
67          47      0       15048   1092    228     
