page        index   level   data    free    records 
3           46      2       51      16201   3       
4           51      2       42      16210   2       
5           46      0       7486    8668    197     
6           46      0       15010   1048    395     
7           46      0       15010   1048    395     
8           51      0       12869   3115    757     
9           51      0       12716   3274    748     
10          46      0       15010   1048    395     
11          46      0       15010   1048    395     
12          46      0       15012   1044    397     
13          51      0       12716   3278    748     
14          51      0       7888    8202    464     
15          46      0       15022   1030    406     
16          46      0       15022   1030    406     
17          46      0       14996   1062    395     
18          51      0       8602    7432    506     
19          46      0       15010   1048    395     
20          51      0       8653    7429    509     
21          46      0       15010   1048    395     
22          46      0       15010   1048    395     
23          51      0       9520    6528    560     
24          46      0       15010   1048    395     
25          46      0       15013   1041    402     
26          51      0       10319   5697    607     
27          46      0       15022   1030    406     
28          51      0       7888    8178    464     
29          51      0       8959    7069    527     
30          46      0       15007   1047    401     
31          46      0       15010   1048    395     
32          51      0       11526   4468    678     
33          46      0       15010   1048    395     
34          51      0       13991   1969    823     
35          46      0       15010   1048    395     
36          46      0       15010   1048    395     
37          51      0       7888    8204    464     
38          46      0       15002   1054    396     
39          51      0       13277   2701    781     
40          46      0       15022   1030    406     
41          46      0       15022   1030    406     
42          46      0       15006   1050    396     
43          51      0       14943   949     879     
44          46      0       15010   1048    395     
45          51      0       10183   5853    599     
46          46      0       15010   1048    395     
47          51      0       11067   4955    651     
48          46      0       15010   1048    395     
49          46      0       15010   1048    395     
50          46      0       15003   1051    401     
51          51      0       7888    8190    464     
52          51      0       10081   5939    593     
53          46      0       15022   1030    406     
54          46      0       15017   1037    402     
55          46      0       15010   1048    395     
56          51      0       10421   5583    613     
57          51      0       7973    8123    469     
58          51      0       7888    8200    464     
59          51      0       12359   3635    727     
60          51      0       7939    8091    467     
61          51      0       10081   5895    593     
62          51      0       10965   5069    645     
63          51      0       12665   3325    745     
64          46      0       15010   1048    395     
65          46      0       15010   1048    395     
66          46      0       15010   1048    395     
67          46      0       15029   1027    396     
68          46      0       15022   1030    406     
69          46      0       15022   1030    406     
70          46      0       15017   1039    397     
71          46      0       15010   1048    395     
72          46      0       15010   1048    395     
73          46      0       15010   1048    395     
74          46      0       15010   1048    395     
75          46      0       14992   1062    400     
76          46      0       15022   1030    406     
77          46      0       14990   1064    402     
78          46      0       15010   1048    395     
79          46      0       15010   1048    395     
80          46      0       15010   1048    395     
81          46      0       15010   1048    395     
82          46      0       15010   1048    395     
83          46      0       14994   1058    405     
84          46      0       15022   1030    406     
85          46      0       15026   1030    398     
86          46      0       15010   1048    395     
87          46      0       15010   1048    395     
88          46      0       15010   1048    395     
89          46      0       15010   1048    395     
90          46      0       15020   1034    400     
91          46      0       15022   1030    406     
92          46      0       15000   1054    403     
93          46      0       15010   1048    395     
94          46      0       15010   1048    395     
95          46      0       15010   1048    395     
96          46      0       15010   1048    395     
97          46      0       15010   1048    395     
98          46      0       15021   1031    405     
99          46      0       15022   1030    406     
100         46      0       14999   1057    398     
101         46      0       15010   1048    395     
